Date,Consumer_price
20190927,88259
20190930,88053
20191001,88600
20191002,88553
20191003,88553
20191004,89710
20191007,88220
20191008,88220
20191009,88220
20191010,89553
20191011,89553
20191014,90397
20191015,90541
20191016,89200
20191017,87643
20191018,87877
20191021,90031
20191022,89784
20191023,90129
20191024,90328
20191025,90935
20191028,91556
20191029,91090
20191030,91173
20191031,91397
20191101,90588
20191104,91520
20191105,91500
20191106,91500
20191107,89834
20191108,90021
20191111,90424
20191112,90317
20191113,90317
20191114,90114
20191115,89656
20191118,89656
20191119,89829
20191120,89339
20191121,91248
20191122,91050
20191125,90420
20191126,89859
20191127,90418
20191128,90110
20191129,89903
20191202,91033
20191203,90485
20191204,89735
20191205,88056
20191206,88056
20191209,89277
20191210,89277
20191211,89368
20191212,89139
20191213,86633
20191216,87510
20191217,88079
20191218,88310
20191219,90312
20191220,90130
20191223,90542
20191224,90188
20191226,90358
20191227,90858
20191230,90384
20191231,90094
20200102,89797
20200103,89938
20200106,91100
20200107,91100
20200108,90632
20200109,91730
20200110,92135
20200113,91905
20200114,91986
20200115,92943
20200116,93608
20200117,93617
20200120,94215
20200121,94112
20200122,94112
20200123,93756
20200128,92543
20200129,93527
20200130,94590
20200131,94623
20200203,95303
20200204,95906
20200205,95961
20200206,93923
20200207,92231
20200210,91979
20200211,92462
20200212,91943
20200213,90993
20200214,89757
20200217,90248
20200218,88752
20200219,89757
20200220,92632
20200221,93150
20200224,91526
20200225,91311
20200226,91311
20200227,91924
20200228,92393
20200302,92675
20200303,92086
20200304,93052
20200305,89696
20200306,91961
20200309,92287
20200310,92255
20200311,91247
20200312,90320
20200313,90261
20200316,91255
20200317,93669
20200318,93669
20200319,93465
20200320,93465
20200323,92157
20200324,92157
20200325,92157
20200326,94147
20200327,94147
20200330,93390
20200331,93797
20200401,93797
20200402,91846
20200403,91257
20200406,90507
20200407,90663
20200408,90659
20200409,94027
20200410,93320
20200413,94567
20200414,94500
20200416,93887
20200417,94750
20200420,95394
20200421,95706
20200422,95424
20200423,95273
20200424,94812
20200427,94774
20200428,94500
20200429,93333
20200430,93333
20200504,91346
20200505,91346
20200506,92571
20200507,92111
20200508,92552
20200511,93813
20200512,93790
20200513,93790
20200514,93152
20200515,94239
20200518,94852
20200519,94179
20200520,93130
20200521,94186
20200522,93871
20200525,93066
20200526,93124
20200527,94210
20200528,97110
20200529,97319
